instance_type	concurrency	average	min	max	std
m4.2xlarge	1	43.307	43.307	43.307	NA
m4.2xlarge	2	95.755	95.752	95.758	0.00424264068711945
m4.2xlarge	4	126.281	110.865	151.324	17.4293682233943
m4.2xlarge	8	274.30875	219.621	329.371	52.1476940203769
m4.2xlarge	16	538.061625	315.691	705.641	134.155476613207
m4.2xlarge	32	1175.778	741.314	1409.851	193.213432385853
m4.2xlarge	64	2541.0323125	1943.001	2813.727	294.246758343697
m4.2xlarge	128	4881.237328125	2871.458	5606.681	584.64839522737
m4.4xlarge	1	95.748	95.748	95.748	NA
m4.4xlarge	2	95.749	95.748	95.75	0.0014142135623698
m4.4xlarge	4	95.753	95.75	95.758	0.00355902608400747
m4.4xlarge	8	149.416375	124.698	173.964	23.3773210791845
m4.4xlarge	16	279.0175	214.66	332.7	38.1744637281696
m4.4xlarge	32	649.3593125	597.079	692.263	25.8127456132187
m4.4xlarge	64	1147.863796875	784.794	1402.969	185.600496783012
m4.4xlarge	128	2437.9187578125	1826.089	2715.666	209.346471042539
m4.10xlarge	1	95.754	95.754	95.754	NA
m4.10xlarge	2	95.756	95.75	95.762	0.00848528137423889
m4.10xlarge	4	95.75225	95.746	95.755	0.00419324854180584
m4.10xlarge	8	91.976625	65.543	95.761	10.6807980030587
m4.10xlarge	16	95.752625	95.746	95.762	0.00554827300457797
m4.10xlarge	32	118.56475	95.798	137.988	14.7654217531497
m4.10xlarge	64	156.380015625	107.605	206.976	28.5560417839173
m4.10xlarge	128	312.4844921875	107.732	425.69	76.3128252755934
m4.16xlarge	1	95.748	95.748	95.748	NA
m4.16xlarge	2	95.7475	95.745	95.75	0.00353553390592952
m4.16xlarge	4	95.74825	95.745	95.751	0.00275378527364287
m4.16xlarge	8	95.749875	95.744	95.757	0.00485320218294949
m4.16xlarge	16	95.48475	91.504	95.76	1.06153891434401
m4.16xlarge	32	95.7508125	95.744	95.762	0.00458213571841109
m4.16xlarge	64	95.75134375	95.745	95.76	0.0031833831958203
m4.16xlarge	128	95.1868203125	59.025	95.853	4.49824051942621
