instance_type	concurrency	average	min	max	std
m4.2xlarge	1	264	264	264	NA
m4.2xlarge	2	470	467	473	4.24264068711928
m4.2xlarge	4	804	489	969	214.864298259778
m4.2xlarge	8	1579.25	708	1899	537.956915428311
m4.2xlarge	16	3020.25	756	3772	946.496592703851
m4.4xlarge	1	261	261	261	NA
m4.4xlarge	2	260.5	260	261	0.707106781186548
m4.4xlarge	4	474	439	489	23.4520787991171
m4.4xlarge	8	817.125	369	959	193.990749043055
m4.4xlarge	16	1673.9375	1240	1897	220.104056830703
m4.10xlarge	1	261	261	261	NA
m4.10xlarge	2	260.5	260	261	0.707106781186548
m4.10xlarge	4	260	259	261	0.816496580927726
m4.10xlarge	8	261.25	260	263	1.03509833901353
m4.10xlarge	16	327.75	260	381	49.392981957629
m4.16xlarge	1	261	261	261	NA
m4.16xlarge	2	261	260	262	1.4142135623731
m4.16xlarge	4	260	260	260	0
m4.16xlarge	8	261.375	259	264	1.50594061730772
m4.16xlarge	16	260.9375	259	262	0.928708781050335
